iter	Logloss
0	0.6777978681
1	0.6514281757
2	0.6166663564
3	0.6036804781
4	0.5814278073
5	0.5704621159
6	0.5557188317
7	0.5479976438
8	0.5387230683
9	0.5293223447
10	0.5153463018
11	0.5016659686
12	0.4964381519
13	0.4925470338
14	0.4864470958
15	0.4823601032
16	0.4782234906
17	0.4742921924
18	0.4712931709
19	0.4666434889
20	0.4629412899
21	0.4580484344
22	0.4542823593
23	0.4516359409
24	0.4504542636
25	0.4490974179
26	0.4456736315
27	0.4442429973
28	0.4426127063
29	0.4403638141
30	0.4385607591
31	0.434800021
32	0.4331036085
33	0.4310933721
34	0.4290907896
35	0.4280263481
36	0.4268031656
37	0.4249834985
38	0.4248626608
39	0.4240348766
40	0.4231840535
41	0.4224390033
42	0.4217124898
43	0.4206012845
44	0.4205595729
45	0.4202470743
46	0.4200451924
47	0.4189523707
48	0.4182789887
49	0.4180295763
50	0.4171582474
51	0.4165371951
52	0.4155086267
53	0.41478223
54	0.4143414868
55	0.4140616082
56	0.4139393481
57	0.4126468534
58	0.4119516865
59	0.4115890448
60	0.4115383123
61	0.41125267
62	0.4108683866
63	0.4102787011
64	0.409138569
65	0.4089353702
66	0.4081913402
67	0.407994308
68	0.4076801788
69	0.4071212615
70	0.4066050063
71	0.4060500953
72	0.4058063745
73	0.4053442413
74	0.4048792939
75	0.4045212279
76	0.404095482
77	0.4038902144
78	0.4034793069
79	0.4031083424
80	0.403041511
81	0.4025836831
82	0.4022249755
83	0.4015341317
84	0.4012608952
85	0.4011242527
86	0.4009112248
87	0.3998720193
88	0.3993275083
89	0.3991673744
90	0.3986222586
91	0.3985906758
92	0.3982301563
93	0.3980203224
94	0.3978697693
95	0.3973320884
96	0.3973314258
97	0.3969123722
98	0.3968229915
99	0.3966722585
100	0.3961526469
101	0.3960475625
102	0.3958135282
103	0.3955680404
104	0.3954915365
105	0.3952570969
106	0.3950645169
107	0.3947935595
108	0.3947673288
109	0.3945237014
110	0.3943123291
111	0.3941476614
112	0.3937698712
113	0.3933321788
114	0.3926577636
115	0.3922072969
116	0.3920096438
117	0.3919934624
118	0.3918567982
119	0.3917646576
120	0.3916661761
121	0.3915429345
122	0.3914913081
123	0.3914797622
124	0.391300145
125	0.3910950698
126	0.3909754212
127	0.3904098193
128	0.3900454444
129	0.3898892566
130	0.3896792591
131	0.3893913136
132	0.3890856745
133	0.3887651975
134	0.388710903
135	0.3885268073
136	0.3882099671
